round,client_id,n,n_pos,n_neg,pos_rate,auprc,auroc,brier,nll,ece,threshold,threshold_method,accuracy,f1,sensitivity,specificity,ppv,npv,method
1,General_surgery__Biliary_Pancreas,441,206,235,0.4671201814058957,0.4741463543079118,0.5358397025407973,0.3842408357064621,1.050425499786101,0.3689374039497484,0.8388512156544197,youden-val,0.5396825396825397,0.4937655860349127,0.4805825242718446,0.5914893617021276,0.5076923076923077,0.5650406504065041,FedAvg
1,General_surgery__Colorectal,392,181,211,0.461734693877551,0.4757659076661037,0.4827839019664319,0.3921673482875683,1.0760163662883762,0.3761660657819527,0.8388512156544197,youden-val,0.4719387755102041,0.4297520661157025,0.430939226519337,0.5071090047393365,0.4285714285714285,0.5095238095238095,FedAvg
1,General_surgery__Distal_gastrectomy,356,136,220,0.3820224719101123,0.4941621751547263,0.6538770053475936,0.4425349710082528,1.1936468727831475,0.4611290532235614,0.8388512156544197,youden-val,0.6067415730337079,0.5857988165680473,0.7279411764705882,0.5318181818181819,0.4900990099009901,0.7597402597402597,FedAvg
1,General_surgery__Exploratory_laparotomy,201,113,88,0.5621890547263682,0.728692503284088,0.6343523732904264,0.3157144091730418,0.8775430764844134,0.2768785045481199,0.8388512156544197,youden-val,0.6069651741293532,0.6457399103139013,0.6371681415929203,0.5681818181818182,0.6545454545454545,0.5494505494505495,FedAvg
1,General_surgery__Hepatic,314,123,191,0.3917197452229299,0.4095631264322575,0.5667645681692419,0.4262620334598466,1.1424520088106165,0.4365744132504336,0.8388512156544197,youden-val,0.5764331210191083,0.4242424242424242,0.3983739837398374,0.6910994764397905,0.4537037037037037,0.6407766990291263,FedAvg
1,General_surgery__OtherSurgery,217,143,74,0.6589861751152074,0.7038619920950926,0.5421470421470421,0.2566304119894566,0.7380046513915144,0.1810786839262624,0.8388512156544197,youden-val,0.5852534562211982,0.6511627906976745,0.5874125874125874,0.581081081081081,0.7304347826086957,0.4215686274509804,FedAvg
1,General_surgery__Others,150,80,70,0.5333333333333333,0.6271206661518246,0.6233928571428571,0.3333196912767944,0.9202615278246034,0.3020852200461942,0.8388512156544197,youden-val,0.6266666666666667,0.65,0.65,0.6,0.65,0.6,FedAvg
1,General_surgery__Stomach,226,90,136,0.3982300884955752,0.4434541761578585,0.5447712418300654,0.4313482381703464,1.1686856506122203,0.438626203865825,0.8388512156544197,youden-val,0.5221238938053098,0.490566037735849,0.5777777777777777,0.4852941176470588,0.4262295081967213,0.6346153846153846,FedAvg
1,Gynecology__Major_resection,145,46,99,0.3172413793103448,0.5005319708678125,0.629336846728151,0.4496016060056486,1.1732067198132512,0.4883890593548059,0.8388512156544197,youden-val,0.6827586206896552,0.2580645161290322,0.1739130434782608,0.9191919191919192,0.5,0.7054263565891473,FedAvg
1,Thoracic_surgery__Lung_lobectomy,326,134,192,0.4110429447852761,0.460979859923777,0.4997279228855722,0.4266410308386082,1.161799330796076,0.427412031277873,0.8388512156544197,youden-val,0.4693251533742331,0.4364820846905538,0.5,0.4479166666666667,0.3872832369942196,0.5620915032679739,FedAvg
